latitude;longitude
0.360086810;-78.113756470
0.360086810;-78.113756470
0.360086810;-78.113756470
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.360072510;-78.113672590
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359992800;-78.113506760
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359955440;-78.113483250
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359916710;-78.113462940
0.359888500;-78.113453100
0.359888500;-78.113453100
0.359888500;-78.113453100
0.359867650;-78.113435850
0.359863180;-78.113431900
0.359863120;-78.113422390
0.359862120;-78.113419580
0.359861490;-78.113405790
0.359858220;-78.113398350
0.359855410;-78.113391780
0.359853330;-78.113384180
0.359852910;-78.113375230
0.359852610;-78.113366280
0.359852530;-78.113356600
0.359852460;-78.113351000
0.359853030;-78.113342250
0.359856630;-78.113335910
0.359860000;-78.113328710
0.359861740;-78.113316930
0.359863220;-78.113303470
0.359864000;-78.113294630
0.359863830;-78.113286200
0.359864480;-78.113280260
0.359867240;-78.113276650
0.359869130;-78.113272570
0.359870010;-78.113263110
0.359871900;-78.113252600
0.359869840;-78.113242740
0.359868860;-78.113233200
0.359866750;-78.113218980
0.359866700;-78.113206210
0.359864370;-78.113186050
0.359864600;-78.113174360
0.359861440;-78.113160770
0.359859410;-78.113143210
0.359857050;-78.113133870
0.359855780;-78.113130460
0.359856090;-78.113122440
0.359856810;-78.113114220
0.359857560;-78.113107120
0.359857360;-78.113096350
0.359857610;-78.113088750
0.359858090;-78.113076860
0.359855380;-78.113065390
0.359852090;-78.113055020
0.359850210;-78.113040800
0.359851440;-78.113028920
0.359852020;-78.113020400
0.359852900;-78.113007250
0.359851310;-78.112995780
0.359849580;-78.112988980
0.359847630;-78.112984210
0.359847980;-78.112970730
0.359847360;-78.112960310
0.359846000;-78.112958500
0.359843570;-78.112950360
0.359841860;-78.112939460
0.359840570;-78.112928950
0.359837590;-78.112917730
0.359838420;-78.112906560
0.359840840;-78.112898280
0.359842870;-78.112889960
0.359844800;-78.112870940
0.359841980;-78.112861440
0.359840410;-78.112849820
0.359842090;-78.112837810
0.359844300;-78.112819550
0.359843850;-78.112812170
0.359840020;-78.112811760
0.359832900;-78.112805150
0.359829290;-78.112794370
0.359828030;-78.112778680
0.359824660;-78.112768100
0.359820400;-78.112753950
0.359815620;-78.112747350
0.359814530;-78.112746400
0.359812750;-78.112733950
0.359807390;-78.112719850
0.359803950;-78.112705870
0.359801390;-78.112695850
0.359801580;-78.112684480
0.359797820;-78.112674470
0.359796740;-78.112663190
0.359795070;-78.112653480
0.359793560;-78.112643590
0.359791820;-78.112637120
0.359788580;-78.112625640
0.359784370;-78.112608990
0.359780910;-78.112599560
0.359779020;-78.112592960
0.359777410;-78.112587170
0.359774110;-78.112577430
0.359770280;-78.112561760
0.359770160;-78.112555090
0.359771560;-78.112547720
0.359769940;-78.112542920
0.359766420;-78.112536970
0.359768690;-78.112526570
0.359774560;-78.112515760
0.359778200;-78.112502640
0.359782870;-78.112483750
0.359784920;-78.112465390
0.359789580;-78.112453210
0.359793890;-78.112439650
0.359797430;-78.112435550
0.359796540;-78.112429800
0.359795240;-78.112419050
0.359793530;-78.112403180
0.359791990;-78.112391410
0.359789850;-78.112378820
0.359785700;-78.112372570
0.359782400;-78.112362990
0.359781490;-78.112357960
0.359779680;-78.112345940
0.359779540;-78.112334060
0.359779360;-78.112316290
0.359778590;-78.112301300
0.359778860;-78.112293630
0.359778390;-78.112290230
0.359777070;-78.112283380
0.359777870;-78.112278300
0.359778210;-78.112267860
0.359778610;-78.112260550
0.359778750;-78.112254000
0.359780880;-78.112245410
0.359781880;-78.112236600
0.359783880;-78.112228900
0.359785770;-78.112223890
0.359787500;-78.112218190
0.359793620;-78.112218150
0.359807720;-78.112217000
0.359824740;-78.112210960
0.359856020;-78.112206820
0.359867630;-78.112199910
0.359877650;-78.112192660
0.359880220;-78.112181270
0.359884970;-78.112179220
0.359891370;-78.112179450
0.359899680;-78.112179390
0.359909130;-78.112174030
0.359919040;-78.112172660
0.359935200;-78.112169650
0.359951000;-78.112167370
0.359962040;-78.112165880
0.359968110;-78.112163370
0.359973700;-78.112160770
0.359980930;-78.112155850
0.359989920;-78.112152530
0.360000780;-78.112152320
0.360009910;-78.112147700
0.360016770;-78.112142170
0.360024300;-78.112139650
0.360037260;-78.112137760
0.360056320;-78.112139110
0.360069160;-78.112137590
0.360077000;-78.112133370
0.360083160;-78.112128550
0.360092210;-78.112121840
0.360101880;-78.112118890
0.360111520;-78.112112830
0.360126530;-78.112108920
0.360132560;-78.112108100
0.360143930;-78.112105470
0.360154030;-78.112103520
0.360163030;-78.112102510
0.360177700;-78.112101260
0.360190830;-78.112104270
0.360199140;-78.112104350
0.360214030;-78.112103140
0.360215070;-78.112104910
0.360231690;-78.112103370
0.360239260;-78.112100780
0.360253370;-78.112096960
0.360260620;-78.112093700
0.360268990;-78.112093020
0.360281340;-78.112087520
0.360296080;-78.112088830
0.360311870;-78.112087780
0.360320700;-78.112082660
0.360325380;-78.112080670
0.360333480;-78.112078210
0.360348470;-78.112074180
0.360360650;-78.112071210
0.360379270;-78.112069360
0.360388180;-78.112072310
0.360400800;-78.112070430
0.360410010;-78.112068560
0.360416110;-78.112069270
0.360420550;-78.112068960
0.360433300;-78.112069200
0.360446030;-78.112069850
0.360454320;-78.112071240
0.360460980;-78.112070880
0.360470130;-78.112073330
0.360482370;-78.112075500
0.360498760;-78.112077020
0.360511480;-78.112077040
0.360521790;-78.112076750
0.360531120;-78.112074400
0.360533420;-78.112072710
0.360546710;-78.112069590
0.360558940;-78.112069540
0.360568210;-78.112070880
0.360578180;-78.112071500
0.360589310;-78.112071130
0.360589200;-78.112072160
0.360597180;-78.112072350
0.360604080;-78.112075500
0.360624520;-78.112078970
0.360643300;-78.112080260
0.360654570;-78.112081280
0.360666290;-78.112080920
0.360683610;-78.112079260
0.360693570;-78.112079270
0.360704600;-78.112078500
0.360720870;-78.112078160
0.360737850;-78.112074190
0.360735020;-78.112074180
0.360746140;-78.112070930
0.360756390;-78.112070530
0.360765650;-78.112071270
0.360770790;-78.112070330
0.360783090;-78.112069760
0.360803290;-78.112070530
0.360810000;-78.112067330
0.360820590;-78.112066320
0.360827990;-78.112064710
0.360836890;-78.112065430
0.360845570;-78.112063940
0.360853510;-78.112066360
0.360864330;-78.112066790
0.360870060;-78.112066450
0.360886080;-78.112065090
0.360893960;-78.112063040
0.360898120;-78.112063340
0.360904930;-78.112063680
0.360911990;-78.112063910
0.360923720;-78.112062920
0.360936710;-78.112059270
0.360945880;-78.112055590
0.360961330;-78.112047510
0.360979430;-78.112040580
0.360993870;-78.112040490
0.361006270;-78.112040430
0.361015600;-78.112044090
0.361024660;-78.112047410
0.361034950;-78.112048340
0.361037420;-78.112048770
0.361047350;-78.112048950
0.361056100;-78.112050320
0.361068110;-78.112048760
0.361076010;-78.112045600
0.361086540;-78.112047390
0.361093700;-78.112044670
0.361106230;-78.112035910
0.361115480;-78.112037200
0.361125540;-78.112039140
0.361137940;-78.112039510
0.361153100;-78.112039340
0.361163220;-78.112037600
0.361171110;-78.112039250
0.361181530;-78.112043180
0.361192470;-78.112044960
0.361197540;-78.112044180
0.361205460;-78.112044980
0.361218840;-78.112044790
0.361225680;-78.112046710
0.361232230;-78.112051590
0.361236700;-78.112058350
0.361243910;-78.112065910
0.361249480;-78.112076220
0.361256170;-78.112083060
0.361269230;-78.112098480
0.361283170;-78.112114020
0.361288220;-78.112121240
0.361288800;-78.112126350
0.361291420;-78.112132290
0.361299400;-78.112142120
0.361303860;-78.112150740
0.361307570;-78.112158090
0.361312240;-78.112163590
0.361317400;-78.112171670
0.361322640;-78.112180350
0.361325300;-78.112187950
0.361324820;-78.112194270
0.361326010;-78.112203210
0.361324290;-78.112210520
0.361318180;-78.112215140
0.361311410;-78.112217740
0.361302390;-78.112222700
0.361299570;-78.112226450
0.361299090;-78.112222020
0.361297230;-78.112219470
0.361291080;-78.112221750
0.361285870;-78.112225350
0.361281410;-78.112227100
0.361277120;-78.112224830
0.361274860;-78.112220720
0.361277190;-78.112216830
0.361278080;-78.112216460
0.361277220;-78.112220580
0.361274190;-78.112228140
0.361267770;-78.112232240
0.361264390;-78.112235430
0.361258450;-78.112236320
0.361255340;-78.112236950
0.361253480;-78.112239510
0.361254830;-78.112242610
0.361257270;-78.112251790
0.361257740;-78.112256420
0.361260420;-78.112262850
0.361261840;-78.112266020
0.361261320;-78.112266990
0.361257370;-78.112264730
0.361254950;-78.112264380
0.361251920;-78.112263750
0.361248660;-78.112263600
0.361242820;-78.112263270
0.361239340;-78.112264890
0.361238510;-78.112266120
0.361238720;-78.112267160
0.361238130;-78.112271070
0.361238910;-78.112274320
0.361239000;-78.112275170
0.361238910;-78.112276320
0.361237990;-78.112277330
0.361236310;-78.112278830
0.361233710;-78.112279340
0.361229200;-78.112281860
0.361224510;-78.112283920
0.361217270;-78.112286820
0.361210770;-78.112289260
0.361202240;-78.112288210
0.361196220;-78.112288280
